,image,relevant,words,OCR_score
277,4c6bc57673884a876168e5826912ac40d40e43b7,1,"[['impostor', 'vwomc n2', 'among us'], [0.9978665709495544, 0.7738887071609497, 0.9927451610565186]]",0.9978665709495544
49,c2d3fb2eca44bad695cd84e02c673cc27fdc175d,1,"[['impostor', 'vwomc n2', 'among us'], [0.9973043203353882, 0.7465991377830505, 0.940876841545105]]",0.9973043203353882
229,e0614be54bfaf19965434fef71f85b18c9a46f1c,1,"[['impostor', 'vwonc n2', 'among us'], [0.9966398477554321, 0.6097167134284973, 0.9541723728179932]]",0.9966398477554321
227,3fe8539d691409d2207cf5f2bd5ce453c79fe185,1,"[['among us', 'impostor', 'among us', 'impostor'], [0.8866251111030579, 0.9919834136962891, 0.8786640167236328, 0.9954046010971069]]",0.9954046010971069
53,75f467a04f86432f8e752744a486c415e7270c9b,1,"[['among us', 'impostor'], [0.9149707555770874, 0.9953557252883911]]",0.9953557252883911
72,1a660508ae3183a16538facdcbebdb17428b2a4a,1,"[['piscuss ', 'emergency', 'crewme', 'ieeting', 'impos', 'oefe', 'ticto', 'energengi', 'meeting', 'impostor', 'x 3'], [0.7866041660308838, 0.9204128980636597, 0.6909281611442566, 0.9078985452651978, 0.9711553454399109, 0.8483003973960876, 0.843025803565979, 0.7765700817108154, 0.9615041613578796, 0.9952309131622314, 0.5063353180885315]]",0.9952309131622314
438,8b3790e98660f3b1949f77ac42542169519f23c1,1,"[['impostor'], [0.9952204823493958]]",0.9952204823493958
242,d8ed68c8657219f8e11febbf689adf8889e5a7ad,1,"[['impostor', 'vwona n2', 'among us'], [0.9951813220977783, 0.6581472158432007, 0.9718468189239502]]",0.9951813220977783
280,63094b2fcfe46bc394901b231968251c43b3e876,1,"[['impostor', 'vwona n2', 'among us'], [0.9951813220977783, 0.6581472158432007, 0.9718468189239502]]",0.9951813220977783
132,ae008c50c09aaee6babced0b3cd5b6551c32d82d,1,"[['impostor', 'vwona n2', 'among us'], [0.9951813220977783, 0.6581472158432007, 0.9718468189239502]]",0.9951813220977783
228,74cc005552c1a57feed16d4751bd3c1fbb7a3510,1,"[['impostor', 'vwoud n2', 'among us'], [0.9949768781661987, 0.7229112386703491, 0.914436936378479]]",0.9949768781661987
286,c3e9a716490586b2f996cffd36bf1fb5eee0e40f,1,"[['impostor'], [0.9949604272842407]]",0.9949604272842407
420,f071da940df74d55557b2ea05ff69d54d844e3f5,1,"[['impostor'], [0.9944888353347778]]",0.9944888353347778
364,51fc7da0d1cba3c2cd8f0a3a723dec50c3e5bf4d,1,"[['impostor'], [0.9944888353347778]]",0.9944888353347778
390,d4083b340b045cda7175f642ae98362b26c01fa5,1,"[['impostor'], [0.9944888353347778]]",0.9944888353347778
462,1e4262b940e28e48b0a674611114884af56a3afe,1,"[['among us', 'impostor'], [0.9103841185569763, 0.9936795234680176]]",0.9936795234680176
234,68e8e3b60ba5c00aed0f0dde7f81aaa2c9d66aa1,1,"[['vwonq n2', 'among us', 'impostor'], [0.763303816318512, 0.9425526261329651, 0.9936792850494385]]",0.9936792850494385
193,0811a67b105fabaa579e1882531726221619afa1,1,"[['vwonq n2', 'among us', 'impostor'], [0.763303816318512, 0.9425526261329651, 0.9936792850494385]]",0.9936792850494385
376,971e5ce3618dea173a57a79da74574d9f7a21aa4,1,"[['impostor', 'among', 'trustno one', 'apmong us', 'impostor'], [0.9935696125030518, 0.9952109456062317, 0.9041271805763245, 0.8587625026702881, 0.9822887182235718]]",0.9935696125030518
245,d23432072093f01f1afd83c4b62d753c3ef30d3a,1,"[['vwonq n2', 'among us', 'impostor'], [0.7949525117874146, 0.9445849657058716, 0.9929629564285278]]",0.9929629564285278
61,068b0e58b9827f1bdbe7fdb8622736f7806c8e25,1,"[['vwonq n2', 'among us', 'impostor'], [0.7949525117874146, 0.9445849657058716, 0.9929629564285278]]",0.9929629564285278
454,2a1cb620245773522750665f9c99cbc5ef61aebb,1,"[['mpostors', 'trust me', 'red seems kinda sus', 'sabotage', 'vote', 'uemergency', 'meeting', 'su', 'who', 'sus', 'where', 'impostor'], [0.9845621585845947, 0.9654695987701416, 0.9456832408905029, 0.985430896282196, 0.9954023361206055, 0.9581761360168457, 0.9946643114089966, 0.6809333562850952, 0.9976933598518372, 0.814911425113678, 0.9936243295669556, 0.9921196699142456]]",0.9921196699142456
84,26e418ce1e8fe6617a357e781511d226cfe45f86,1,"[['emergency', 'scus', 'meeting', 'apmong us', 'iam the', 'impostor', 'impostor', 'report'], [0.9925819039344788, 0.5429757833480835, 0.9950695633888245, 0.8735328316688538, 0.8862334489822388, 0.9901293516159058, 0.9906656742095947, 0.9956797957420349]]",0.9906656742095947
440,b9862cccf436619cb436886cbda61bcbeb61b28b,1,"[['impostor'], [0.9884554147720337]]",0.9884554147720337
437,2e4782df8433b7dee361674f57504a36e1d34a8d,1,"[['impostor'], [0.9871925711631775]]",0.9871925711631775
124,000e7696e9936c1f2d2e2214cdfbdb54b8878374,1,"[['vwoud n2', 'among us', 'impostor'], [0.818354606628418, 0.9929673671722412, 0.9865270853042603]]",0.9865270853042603
