,image,words,OCR_score
126,among (138).jpg,"[['impostor', '6', '1', 'j', '3'], [0.9999715928569747, 0.8795341107587582, 0.8960020601160892, 0.06104141991111178, 0.9938274799646116]]",0.9999715928569747
13,among (32).jpg,"[[' mong us', 'impostor', ' mong us', 'impos', 'tor'], [0.5408415532038339, 0.9999400242895794, 0.37381091928871696, 0.9994501220297158, 0.9829262187408361]]",0.9999400242895794
14,among (18).jpg,"[['gbmong us', ' ', 'impostor'], [0.16427977290634585, 0.13560256238470547, 0.9999376218583348]]",0.9999376218583348
7,among (13).jpg,"[['impostor', '1', '1', '3'], [0.9998658453133549, 0.8300590602389413, 0.1894104587682941, 0.9980972528289875]]",0.9998658453133549
84,among (37).jpg,"[['impostor', '1', '1', '3', 's'], [0.9955174794211725, 0.9003382208839561, 0.3216556707443239, 0.9467460312140616, 0.261523542861287]]",0.9955174794211725
54,among (71).jpg,"[['impostor'], [0.9944337324834492]]",0.9944337324834492
79,among (84).jpg,"[['1', ' mong', 'qmonc ', 'qmong', ' mon  u5 ', '87', 'l one', 'hhhl', 'impostor', 'you look', 'aeo', 'yu', 'look', '5u5', 'you look', 'yiur  ', 'l', 'amon  ', ' min ', ' birihdo ', 'hrpt t', 'qmong ', 'ihpostu', ' mong ', 'happy brthoa', 'mposiur  ', ' mong', '  mong  ', 'hafrt birthoal', 'ihposir  ', 'trust', 'tts vur e', '   rthpar ', '3s', 'ydu', ' ok', ' ', 'imposton', 'trust'], [0.4289475085921026, 0.27331758431373265, 0.14294440603397818, 0.3243146001055681, 0.05997188079660542, 0.6909326061837718, 0.23349094903577977, 0.10815683007240295, 0.9937584873905115, 0.43399115618592266, 0.0026607893527746326, 0.5868252835999873, 0.7347808480262756, 0.3911205232143402, 0.4604761522557631, 0.026710312726372944, 0.03918494801397632, 0.24341388709329984, 0.1574007688399859, 0.07291564463995191, 0.04422946921086417, 0.31944568778938837, 0.04528180540701891, 0.286764597745116, 0.08772557980023525, 0.04645244122933285, 0.18907040923515372, 0.11117783243781096, 0.02015530762218775, 0.1828527756341217, 0.4411533177458238, 0.056076903527724306, 0.1204188294452518, 0.0627035883270583, 0.3974235795979767, 0.7198090553283691, 0.6693413074717149, 0.8200241446296042, 0.9999769691782173]]",0.9937584873905115
147,among (1).jpg,"[['impostor', '3', ' ', 'i', '1'], [0.7982906357960781, 0.9616295475796086, 0.15533953085739327, 0.3826926688344088, 0.2684112673425467]]",0.7982906357960781
83,among (88).jpg,"[['impostor', '1', 'i', '3', '6'], [0.745935750393722, 0.8929448921526415, 0.03901297417351324, 0.995790748039699, 0.3043138947541344]]",0.745935750393722
68,among (74).jpg,"[['imposton'], [0.797609109796984]]",0.697907971072361
42,among (52).jpg,"[['oua', 'emergency', 'pisauss', 'meeting', 'giong us', 'iem thc', 'mpovo', 'mse', 'repori', 'impostor', 'yjvjdajmi', 'dmitjjm'], [0.17140796034811745, 0.7341865402695981, 0.45579105961063987, 0.9987364374786109, 0.17774689754771733, 0.41065938308200434, 0.2278476171933469, 0.33944028831989437, 0.07267142872337638, 0.6754658548320259, 0.37965466523832436, 0.4907777897562711]]",0.6754658548320259
112,among (99).jpg,"[['am', 'ng us', 'amongus', 'amongus', 'store', '2   ve ', 's', 'amongus', 'eaaa2211', '8', ' ', '3', 'wond ', 'pige', '7', '1', '2  f', '9  ', 'nau', '09513', 'p', '1'], [0.9747391899589531, 0.5153045301933568, 0.165228457992519, 0.7815726548667684, 0.343676161675657, 0.003040376008512533, 0.5604712215756535, 0.38937536116718446, 0.05052294447227304, 0.19670502893365338, 0.14376019395714312, 0.9335058016886819, 0.2677643030991767, 0.4727334145262313, 0.03192199058080747, 0.21918249509946808, 0.10052692890167236, 0.1743469744815433, 0.19580567612300803, 0.1591193707327376, 0.01734293389612973, 0.14949337979015187]]",0.6518941275666356
135,among (146).jpg,"[['impostor', '1', '1', '3'], [0.6131996800051056, 0.8295320659124314, 0.4332620336983304, 0.9833020761892755]]",0.6131996800051056
20,among (25).jpg,"[['wia', 'i m p 0 st 0rs', 'trust me', 'red seems kinda sus', 'sabotage', 'svote', 'emergencu', '2', 'wh830', '9', 'nsus ', '2', 'i', 'impostor '], [0.214485077458915, 0.5174391937928504, 0.7123187396676184, 0.9887694888539975, 0.6102083194968433, 0.814679942898033, 0.4282650886943763, 0.21592688027514217, 0.071358040756912, 0.7855346061196542, 0.028145454715935093, 0.12562372334231497, 0.24820802025832567, 0.6986081487335388]]",0.6112821301418465
39,among (7).jpg,"[['reading th', 'lm', 'ndal', 'wh  didd', 'mpoio', 'imposig', 'us', '4', 'surersus', 'mppovtor', 'c99', 'qmong us', 'who', '15 thbirpos', 'mpasta', 'voje', 'cavong uk', 'you re', 'ukinda', 'suss', '605t', '2nd'], [0.5503388121089847, 0.24004354735864905, 0.3760007619857788, 0.34650384419916486, 0.5307922840890369, 0.8146972746440043, 0.4988817341164584, 0.7576551167817378, 0.05991918854412474, 0.25570110013659997, 0.1430199785751533, 0.24820946335677296, 0.6030484918058643, 0.11734048584570525, 0.9830133129512435, 0.6414945125579834, 0.015035432791038032, 0.4179869526271504, 0.5420174143101756, 0.9725657105445862, 0.15727763453295754, 0.4172837357422507]]",0.5091857966525027
22,among (28).jpg,"[['k', 'o', 'among us', '52', '  ', '1', '1', '3'], [0.29884146324477356, 0.18187984814859703, 0.7266505792205066, 0.6470029872909691, 0.06118915597032783, 0.7877446786545228, 0.3757269530672289, 0.9776820414844032]]",0.4292667395348361
125,among (134).jpg,"[['gig', 'g', '9', 'among us', '9'], [0.21128637303042436, 0.8943455395601383, 0.8583878229785569, 0.2423659187505319, 0.18825281240171776]]",0.41278265314840823
123,among (133).jpg,"[['that s ki', 'sus', 'tho', 'sim', '303', ' u', 'sabota', 'ato ona meha ', 'c', '03', 'cwgwar', 'shaha', 'bruh', 'mlet', ' v', 'check', 'susi', 'ta', 'peek a ', 'impostera'], [0.7739043755392222, 0.96682341500656, 0.5176272100387904, 0.7618948861070681, 0.8601852655410767, 0.5601832370502091, 0.6928975925841699, 0.34227881678730854, 0.47089697518210016, 0.11978262607397144, 0.11835743072600392, 0.6915408948307163, 0.9937922358512878, 0.8700535893440247, 0.498675189328424, 0.7263383484364695, 0.4587174654006958, 0.5928795520476471, 0.8798888515111669, 0.5200453938352191]]",0.3900340453764143
17,among (14).jpg,"[['6', 'store', 'no ', '912613465', 'cri i', '303'], [0.12254170176584367, 0.9997476171615141, 0.6012825151900714, 0.6366415953879849, 0.13022183113419888, 0.3563573658466339]]",0.37490535643556777
